edgeID,startNode,endNode
aPARK001GG_aWALK001GG,aPARK001GG,aWALK001GG
aPARK002GG_aWALK011GG,aPARK002GG,aWALK011GG
aPARK003GG_aWALK011GG,aPARK003GG,aWALK011GG
aPARK004GG_aWALK011GG,aPARK004GG,aWALK011GG
aPARK005GG_aWALK012GG,aPARK005GG,aWALK012GG
aPARK006GG_aWALK012GG,aPARK006GG,aWALK012GG
aPARK007GG_aWALK011GG,aPARK007GG,aWALK011GG
aPARK008GG_aWALK011GG,aPARK008GG,aWALK011GG
aPARK009GG_aWALK011GG,aPARK009GG,aWALK011GG
aPARK010GG_aWALK012GG,aPARK010GG,aWALK012GG
aPARK011GG_aWALK012GG,aPARK011GG,aWALK012GG
aPARK012GG_aWALK012GG,aPARK012GG,aWALK012GG
aPARK013GG_aWALK012GG,aPARK013GG,aWALK012GG
aPARK014GG_aWALK012GG,aPARK014GG,aWALK012GG
aPARK015GG_aWALK001GG,aPARK015GG,aWALK001GG
aWALK011GG_aWALK012GG,aWALK011GG,aWALK012GG
aWALK012GG_aWALK001GG,aWALK012GG,aWALK001GG
aWALK001GG_aWALK002GG,aWALK001GG,aWALK002GG
aWALK002GG_aWALK003GG,aWALK002GG,aWALK003GG
aWALK003GG_aWALK004GG,aWALK003GG,aWALK004GG
aWALK004GG_aWALK006GG,aWALK004GG,aWALK006GG
aWALK004GG_aEXIT00201,aWALK004GG,aEXIT00201
aWALK004GG_aEXIT00101,aWALK004GG,aEXIT00101
aWALK006GG_aEXIT00101,aWALK006GG,aEXIT00101
aPARK016GG_aWALK008GG,aPARK016GG,aWALK008GG
aPARK017GG_aWALK008GG,aPARK017GG,aWALK008GG
aPARK018GG_aWALK008GG,aPARK018GG,aWALK008GG
aPARK019GG_aWALK008GG,aPARK019GG,aWALK008GG
aPARK020GG_aWALK009GG,aPARK020GG,aWALK009GG
aPARK021GG_aWALK009GG,aPARK021GG,aWALK009GG
aPARK022GG_aWALK009GG,aPARK022GG,aWALK009GG
aPARK023GG_aWALK009GG,aPARK023GG,aWALK009GG
aPARK024GG_aWALK010GG,aPARK024GG,aWALK010GG
aPARK025GG_aWALK010GG,aPARK025GG,aWALK010GG
aWALK008GG_aWALK009GG,aWALK008GG,aWALK009GG
aWALK009GG_aWALK010GG,aWALK009GG,aWALK010GG
aWALK010GG_aWALK007GG,aWALK010GG,aWALK007GG
aWALK007GG_aWALK005GG,aWALK007GG,aWALK005GG
aWALK005GG_aWALK003GG,aWALK005GG,aWALK003GG
