nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
aPARK001GG,3244,1112,G,Parking,PARK,Parking Spot 1 45 Francis Street Lobby,45FSL01
aPARK002GG,3304,1112,G,Parking,PARK,Parking Spot 2 45 Francis Street Lobby,45FSL02
aPARK003GG,3304,1155,G,Parking,PARK,Parking Spot 3 45 Francis Street Lobby,45FSL03
aPARK004GG,3304,1198,G,Parking,PARK,Parking Spot 4 45 Francis Street Lobby,45FSL04
aPARK005GG,3304,1241,G,Parking,PARK,Parking Spot 5 45 Francis Street Lobby,45FSL05
aPARK006GG,3304,1284,G,Parking,PARK,Parking Spot 6 45 Francis Street Lobby,45FSL06
aPARK007GG,3390,1107,G,Parking,PARK,Parking Spot 7 45 Francis Street Lobby,45FSL07
aPARK008GG,3390,1157,G,Parking,PARK,Parking Spot 8 45 Francis Street Lobby,45FSL08
aPARK009GG,3390,1207,G,Parking,PARK,Parking Spot 9 45 Francis Street Lobby,45FSL09
aPARK010GG,3390,1257,G,Parking,PARK,Parking Spot 10 45 Francis Street Lobby,45FSL10
aPARK011GG,3390,1307,G,Parking,PARK,Parking Spot 11 45 Francis Street Lobby,45FSL11
aPARK012GG,3390,1357,G,Parking,PARK,Parking Spot 12 45 Francis Street Lobby,45FSL12
aPARK013GG,3353,1414,G,Parking,PARK,Parking Spot 13 45 Francis Street Lobby,45FSL13
aPARK014GG,3302,1414,G,Parking,PARK,Parking Spot 14 45 Francis Street Lobby,45FSL14
aPARK015GG,3237,1155,G,Parking,PARK,Parking Spot 15 45 Francis Street Lobby,45FSL15
aPARK016GG,125,1755,G,Parking,PARK,Parking Spot 1 80 Francis Parking,SPL01
aPARK017GG,125,1885,G,Parking,PARK,Parking Spot 2 80 Francis Parking,SPL02
aPARK018GG,195,1755,G,Parking,PARK,Parking Spot 3 80 Francis Parking,SPL03
aPARK019GG,195,1885,G,Parking,PARK,Parking Spot 4 80 Francis Parking,SPL04
aPARK020GG,265,1755,G,Parking,PARK,Parking Spot 5 80 Francis Parking,SPL05
aPARK021GG,265,1885,G,Parking,PARK,Parking Spot 6 80 Francis Parking,SPL06
aPARK022GG,335,1755,G,Parking,PARK,Parking Spot 7 80 Francis Parking,SPL07
aPARK023GG,335,1885,G,Parking,PARK,Parking Spot 8 80 Francis Parking,SPL08
aPARK024GG,405,1755,G,Parking,PARK,Parking Spot 9 80 Francis Parking,SPL09
aPARK025GG,405,1885,G,Parking,PARK,Parking Spot 10 80 Francis Parking,SPL10
aEXIT00101,1696,1382,G,Parking,EXIT,Entrance 75 Francis St,75FSL
aEXIT00201,2130,1411,G,Parking,EXIT,Entrance ER 75 Francis Street,75FSER
aWALK001GG,3063,1340,G,Parking,WALK,Intermediate Francis,INT-45FSL
aWALK002GG,3063,1618,G,Parking,WALK,Walkway from Right parking 1,INT1-FS
aWALK003GG,1927,1618,G,Parking,WALK,Walkway from Right parking 2,INT2-FS
aWALK004GG,1927,1444,G,Parking,WALK,Walkway from Right parking 3,INT3-FS
aWALK005GG,773,1618,G,Parking,WALK,Walkway from Right parking 4,INT4-FS
aWALK006GG,1696,1444,G,Parking,WALK,Valet Dropoff Walkway Node,FVD
aWALK007GG,668,1726,G,Parking,WALK,Stairs walkway from garage,STAIRS-SPL
aWALK008GG,193,1823,G,Parking,WALK,Walkway from garage 1,INT1-SPL
aWALK009GG,354,1823,G,Parking,WALK,Walkway from garage 2,INT2-SPL
aWALK010GG,549,1823,G,Parking,WALK,Walkway from garage 3,INT3-SPL
aWALK011GG,3337,1163,G,Parking,WALK,1 Intermediate ,INT1-45FSL
aWALK012GG,3337,1340,G,Parking,WALK,2 Intermediate,INT2-45FSL
